"","global","habitat","site","treatment","plot","trait","mean","variance","skewness","kurtosis"
"1","global","fen","1","control","D1C","CN_ratio",41.9318237241,333.090845811264,0.609884713850851,-0.937941836908658
"2","global","fen","1","control","D1C","LDMC",0.408328378501739,0.00253675060283105,-0.108147886422992,-0.138842776594239
"3","global","fen","1","control","D1C","SLA",104.262857463073,648.531775183146,0.957243572117156,1.55245936400399
"4","global","fen","1","control","D1C","d13C",-28.7381,1.09819938383838,-0.275837138513238,-0.654186420384013
"5","global","fen","1","control","D1C","d15N",-3.8205,11.6761603535354,0.14971901121868,-1.61615070387363
"6","global","fen","1","control","D1C","dweight",0.0599705833333333,0.00376581112156987,1.65891331807647,1.68190211426681
"7","global","fen","1","control","D1C","fweight",0.115588583333333,0.0147409734871703,2.49637124809442,5.95317051970399
"8","global","fen","1","control","D1C","height",8.33933333333333,69.7557590909091,2.68737834937563,8.89847530762775
"9","global","fen","1","control","D1C","leafa",5.5867858333525,22.6024411298481,1.69154739747931,1.99416063581631
"10","global","fen","1","control","D1C","wC",50.0732,7.96714925252525,-0.237367416746844,-1.37872376839664
"11","global","fen","1","control","D1C","wN",1.4276,0.244749737373737,0.0143507283080855,-0.997313288470558
"12","global","fen","1","snowfence","D1SF","CN_ratio",34.7789184915,232.478134317594,1.59041456896,1.64859123887606
"13","global","fen","1","snowfence","D1SF","LDMC",0.3965210367855,0.00295407934386582,-0.616388986695684,0.670285342218944
"14","global","fen","1","snowfence","D1SF","SLA",104.51193727518,498.492732898702,0.786285824694881,1.27169101937184
"15","global","fen","1","snowfence","D1SF","d13C",-28.772,1.47930101010101,-0.268265215424499,-0.866979966805726
"16","global","fen","1","snowfence","D1SF","d15N",-3.157,8.29997676767677,-0.42010004748039,-0.998791419639583
"17","global","fen","1","snowfence","D1SF","dweight",0.0405314166666667,0.000586074797776375,1.08989153512005,0.516977349401521
"18","global","fen","1","snowfence","D1SF","fweight",0.124959083333333,0.00928286083627245,2.39178438585633,8.85998993498016
"19","global","fen","1","snowfence","D1SF","height",8.56058333333333,39.1576751613356,2.10464155359441,7.16386581750357
"20","global","fen","1","snowfence","D1SF","leafa",4.68309016580917,7.06086095431357,2.18867399082739,5.5251491606215
"21","global","fen","1","snowfence","D1SF","wC",49.5559,5.55552948484848,0.131662496316593,-1.13033131012236
"22","global","fen","1","snowfence","D1SF","wN",1.6305,0.159164393939394,-0.900133338039465,0.523840409797112
"23","global","fen","2","control","D2C","CN_ratio",29.9033619444,62.3951180251872,2.05744271747522,5.4718494004639
"24","global","fen","2","control","D2C","LDMC",0.384112405487096,0.00200371531496171,-3.53054502527041,22.0408506073568
"25","global","fen","2","control","D2C","SLA",100.592560670369,725.039527802888,0.969770131899254,1.06532290614578
"26","global","fen","2","control","D2C","d13C",-28.0881,1.38239332323232,-0.972489418352233,0.214696174706541
"27","global","fen","2","control","D2C","d15N",-1.1274,4.04100327272727,-1.29001220124949,1.38389993062582
"28","global","fen","2","control","D2C","dweight",0.0536133333333333,0.00182984587822671,2.34699197166937,8.76224360798805
"29","global","fen","2","control","D2C","fweight",0.143291083333333,0.00859131513784371,0.361829543587668,-0.82965417839771
"30","global","fen","2","control","D2C","height",9.20091666666667,22.7295481130752,0.0803995675536872,-0.511831548752812
"31","global","fen","2","control","D2C","leafa",4.793473606955,7.55536363494936,0.51777356331556,0.355157633207247
"32","global","fen","2","control","D2C","wC",47.4138,6.27524804040404,-0.623943779301818,2.91600330633213
"33","global","fen","2","control","D2C","wN",1.7225,0.0997785353535354,-0.499987588282799,-0.597668171706209
"34","global","fen","2","snowfence","D2SF","CN_ratio",31.1032125701,104.78905808785,1.77152102270274,3.03081239094785
"35","global","fen","2","snowfence","D2SF","LDMC",0.379949726779323,0.00238954150917199,0.16215407360954,0.729450945011648
"36","global","fen","2","snowfence","D2SF","SLA",110.057948918701,739.792480259802,0.634307644383106,0.714541331654862
"37","global","fen","2","snowfence","D2SF","d13C",-28.1487,0.762435666666667,-0.547566236544062,0.472220438388261
"38","global","fen","2","snowfence","D2SF","d15N",-1.6229,6.16570160606061,-1.04236846107539,0.162586560091254
"39","global","fen","2","snowfence","D2SF","dweight",0.0431839166666667,0.000929435878584456,0.759886765609338,-0.70049246186172
"40","global","fen","2","snowfence","D2SF","fweight",0.113999275,0.00530535234167586,0.683898942011505,-0.643649230610788
"41","global","fen","2","snowfence","D2SF","height",6.75158333333333,19.8462159020763,1.02136220138493,0.765658479140555
"42","global","fen","2","snowfence","D2SF","leafa",3.72565051681333,6.92875636669842,0.907041076348845,-0.0294889457560585
"43","global","fen","2","snowfence","D2SF","wC",47.9349,5.69706968686869,-0.00483967349651013,1.25835723143533
"44","global","fen","2","snowfence","D2SF","wN",1.6216,0.133783272727273,-0.341289279570534,-0.560731641246352
"45","global","fen","3","control","D3C","CN_ratio",27.3604970188,39.6680698292007,3.86857416203598,22.7416490585104
"46","global","fen","3","control","D3C","LDMC",0.387573262945527,0.00137802961077091,0.135494625614138,1.02192047184721
"47","global","fen","3","control","D3C","SLA",100.241775459166,535.737641531668,0.968897011491002,1.98176117965412
"48","global","fen","3","control","D3C","d13C",-27.833,1.06025353535354,-1.46997993868428,2.11197148111919
"49","global","fen","3","control","D3C","d15N",-0.8002,3.83744844444444,-1.88982757658459,2.96753461118458
"50","global","fen","3","control","D3C","dweight",0.0460073333333333,0.00102868087160494,0.380082865006428,-1.281135408405
"51","global","fen","3","control","D3C","fweight",0.123424,0.00753385683681257,0.375427822745968,-1.404042855038
"52","global","fen","3","control","D3C","height",8.63133333333333,18.6852751402918,0.163699842388664,-1.11591244580322
"53","global","fen","3","control","D3C","leafa",4.35794597829333,6.11461754875586,0.229067138296231,-1.11629335890965
"54","global","fen","3","control","D3C","wC",47.2545,2.93837449494949,2.15052469674046,4.3646256356931
"55","global","fen","3","control","D3C","wN",1.7017,0.0892324343434343,-0.65934833777191,0.0802806288577864
"56","global","fen","3","snowfence","D3SF","CN_ratio",26.3702706772,19.6721697957879,1.6682754100908,3.74740811261786
"57","global","fen","3","snowfence","D3SF","LDMC",0.384004714088565,0.00164283909448833,-0.032000325818368,3.38696997839042
"58","global","fen","3","snowfence","D3SF","SLA",100.77688351068,647.400332431927,0.936573788536248,0.977718789943089
"59","global","fen","3","snowfence","D3SF","d13C",-27.7759,0.687161808080808,-0.750062340639099,0.490297651847916
"60","global","fen","3","snowfence","D3SF","d15N",-0.8845,4.0130148989899,-2.11067173717196,5.57023147508232
"61","global","fen","3","snowfence","D3SF","dweight",0.0613124166666667,0.00126468443672138,-0.0631610790092594,-1.14181009036212
"62","global","fen","3","snowfence","D3SF","fweight",0.156893808333333,0.00720878455701817,-0.234503550000867,-1.30773725720081
"63","global","fen","3","snowfence","D3SF","height",9.09825,16.6326687640292,0.303630995117296,0.249538642279699
"64","global","fen","3","snowfence","D3SF","leafa",5.3027935727125,9.71711189488871,0.925852393753499,2.52610245495777
"65","global","fen","3","snowfence","D3SF","wC",46.9604,4.00103014141414,-1.17027625011681,6.95773020005118
"66","global","fen","3","snowfence","D3SF","wN",1.715,0.0937262626262626,-0.639105174337718,0.8068917853766
"67","global","fen","4","control","D4C","CN_ratio",33.2304831431,208.629740243871,2.0218937015588,3.74759067610033
"68","global","fen","4","control","D4C","LDMC",0.393537447518935,0.00301859869303043,0.167637212030216,0.116273904691123
"69","global","fen","4","control","D4C","SLA",119.744545430044,1172.66821574017,0.309254350047266,-1.12820633426437
"70","global","fen","4","control","D4C","d13C",-28.1023,0.814492636363636,-0.317581780519779,-0.171505932231549
"71","global","fen","4","control","D4C","d15N",-1.6891,8.99366483838384,-0.889891605335447,-0.789831914432773
"72","global","fen","4","control","D4C","dweight",0.033683,0.000308079392424242,1.25103567398899,1.53389327903686
"73","global","fen","4","control","D4C","fweight",0.0741459833333333,0.00313111482015123,1.75368872751248,3.22341208698243
"74","global","fen","4","control","D4C","height",6.51083333333333,14.7468188832772,1.73048746332982,3.86161688314077
"75","global","fen","4","control","D4C","leafa",3.405026897465,4.7285840362374,0.630720654521702,-0.56484404206171
"76","global","fen","4","control","D4C","wC",48.4596,7.99565236363636,0.598332282037516,-1.17511469648762
"77","global","fen","4","control","D4C","wN",1.5526,0.20747195959596,-0.444190370387526,-0.87618032208
"78","global","fen","4","snowfence","D4SF","CN_ratio",40.3802012069,325.844693414558,0.575315082340196,-1.05979467074346
"79","global","fen","4","snowfence","D4SF","LDMC",0.400116982240368,0.0041483369269966,-0.223466483728409,-0.187981564513648
"80","global","fen","4","snowfence","D4SF","SLA",105.221542848869,668.433640603694,0.874738702625451,0.513259151547532
"81","global","fen","4","snowfence","D4SF","d13C",-28.3756,0.965287515151515,-0.739425914028269,-0.135099964788636
"82","global","fen","4","snowfence","D4SF","d15N",-2.4229,10.6517743333333,-0.461127673695124,-1.36517788254439
"83","global","fen","4","snowfence","D4SF","dweight",0.0403840833333333,0.000660821671008698,1.17983662402402,0.951492544644756
"84","global","fen","4","snowfence","D4SF","fweight",0.09982425,0.00354030259833754,1.18502869273196,0.577333938374936
"85","global","fen","4","snowfence","D4SF","height",5.776,9.57765751964085,1.04554417742242,0.560743618685975
"86","global","fen","4","snowfence","D4SF","leafa",3.71619033943583,3.7106934563494,0.604946589717182,-0.449648393595744
"87","global","fen","4","snowfence","D4SF","wC",49.4548,10.9927161212121,-0.478167583216205,-0.11323624863229
"88","global","fen","4","snowfence","D4SF","wN",1.4406,0.233128929292929,-0.0506752168171182,-0.970153604637418
"89","global","fen","5","control","D5C","CN_ratio",27.24995251702,46.7605810335162,0.463681305865297,0.779062539150314
"90","global","fen","5","control","D5C","LDMC",0.376763009708551,0.00300887340706688,-0.820732839411503,0.360964428124163
"91","global","fen","5","control","D5C","SLA",117.128040268847,1518.20188209926,0.704253594978271,-0.565193786413466
"92","global","fen","5","control","D5C","d13C",-28.6843,1.47158839393939,-0.108686980479988,-1.28257449984112
"93","global","fen","5","control","D5C","d15N",-1.7007,5.83905506060606,-1.09361200427548,0.679014835373603
"94","global","fen","5","control","D5C","dweight",0.062285,0.00257710420173962,1.61478950511903,2.53499119961172
"95","global","fen","5","control","D5C","fweight",0.140562816666667,0.0107411900017085,1.71335328029459,3.72863373659304
"96","global","fen","5","control","D5C","height",11.0180833333333,81.3364983936588,2.10447741719317,4.47268763415555
"97","global","fen","5","control","D5C","leafa",6.57958218609667,22.9212244163739,1.97024286445796,3.28603151965893
"98","global","fen","5","control","D5C","wC",48.3541,4.92660221212121,-0.643038083407346,2.69212038829482
"99","global","fen","5","control","D5C","wN",1.794,0.173606060606061,2.90481700855342,17.8989034886406
"100","global","fen","5","snowfence","D5SF","CN_ratio",38.02864609298,333.104086738246,0.846106914281598,-0.482366785926583
"101","global","fen","5","snowfence","D5SF","LDMC",0.417115479463179,0.00380521904743887,-1.21988860449314,2.1562111110855
"102","global","fen","5","snowfence","D5SF","SLA",108.694917154953,959.239263461289,1.79563431256439,3.876795056148
"103","global","fen","5","snowfence","D5SF","d13C",-28.7678,0.944995111111111,-0.404805617963025,-0.43359533515021
"104","global","fen","5","snowfence","D5SF","d15N",-3.7604,8.93336145454546,-0.274137639592365,-0.633052252388521
"105","global","fen","5","snowfence","D5SF","dweight",0.0676360833333333,0.00425961057246773,1.635669129407,1.37432242701309
"106","global","fen","5","snowfence","D5SF","fweight",0.17603225,0.0286131024153409,1.62089986647784,1.40609980429839
"107","global","fen","5","snowfence","D5SF","height",11.51525,153.732034308361,2.04791874154323,3.74588379004511
"108","global","fen","5","snowfence","D5SF","leafa",6.37617725328167,31.6737259933059,1.748210834448,2.1091821323884
"109","global","fen","5","snowfence","D5SF","wC",49.8872,9.10625874747475,-0.316402311700856,-1.12472862962231
"110","global","fen","5","snowfence","D5SF","wN",1.5657,0.520630818181818,1.51659888511372,4.2289506362587
"111","global","heath","1","control","E1C","CN_ratio",51.0147457477,222.122304634193,-0.584050625239489,-0.783275883558056
"112","global","heath","1","control","E1C","LDMC",0.43609726681816,0.00119324461099518,-0.983034542058362,1.68351781141806
"113","global","heath","1","control","E1C","SLA",98.4992355252168,251.74293941757,0.642337812487319,-0.147769316290397
"114","global","heath","1","control","E1C","d13C",-28.2868,1.54257551515152,-0.750978218404678,-0.483440280103332
"115","global","heath","1","control","E1C","d15N",-6.7605,2.49454823232323,0.510768291628899,-0.222512269659997
"116","global","heath","1","control","E1C","dweight",0.0402506666666667,0.000130457085690236,0.237031270806702,-0.347390591105759
"117","global","heath","1","control","E1C","fweight",0.0952445,0.000598466174551066,0.245172200474799,-0.651944906094626
"118","global","heath","1","control","E1C","height",7.38816666666667,7.67118150953984,2.17323619924721,10.0070135258708
"119","global","heath","1","control","E1C","leafa",3.96163978019417,1.07211979614515,0.229907095361413,-0.6585067900096
"120","global","heath","1","control","E1C","wC",52.0361,2.25056948484848,-0.273385748690227,0.0554418391111908
"121","global","heath","1","control","E1C","wN",1.0196,0.133805898989899,1.6985230167055,1.85018542928688
"122","global","heath","1","snowfence","E1SF","CN_ratio",48.02962905807,348.859113896073,0.04141245816399,-1.14706603038543
"123","global","heath","1","snowfence","E1SF","LDMC",0.429503234421797,0.00136118735347654,-1.42731816170477,5.73919486433148
"124","global","heath","1","snowfence","E1SF","SLA",102.453154868058,345.552145414124,0.505095638858636,-0.450517646091694
"125","global","heath","1","snowfence","E1SF","d13C",-28.7427,2.14468455555556,-0.569171658057655,-0.901463264874107
"126","global","heath","1","snowfence","E1SF","d15N",-6.1243,6.3190186969697,0.470895613783392,-0.0130472717658101
"127","global","heath","1","snowfence","E1SF","dweight",0.03841525,0.000117279962198373,0.464625056293506,-0.0836730734768718
"128","global","heath","1","snowfence","E1SF","fweight",0.0920428333333333,0.000759971014337823,0.728840457998627,1.5335723474286
"129","global","heath","1","snowfence","E1SF","height",9.23516666666667,18.9689514309764,1.20078546857774,1.5174499293907
"130","global","heath","1","snowfence","E1SF","leafa",4.12999145937583,1.82370353436634,-0.12200057503293,-0.431326469156571
"131","global","heath","1","snowfence","E1SF","wC",51.1186,3.64681014141414,-0.33384469320443,-0.346627567139005
"132","global","heath","1","snowfence","E1SF","wN",1.1783,0.221062737373737,0.961501280673105,-0.448387124696255
"133","global","heath","2","control","E2C","CN_ratio",56.2974170174,170.931461375897,-0.722209675019183,1.08777751888263
"134","global","heath","2","control","E2C","LDMC",0.44120050367242,0.000743397342496881,-0.37499682177274,-0.441814876261645
"135","global","heath","2","control","E2C","SLA",96.0315033096958,216.505249183768,1.094570303259,2.08015660209438
"136","global","heath","2","control","E2C","d13C",-28.2836,1.26259296969697,-1.02287670044257,0.0365616038980603
"137","global","heath","2","control","E2C","d15N",-7.0633,4.18497182828283,-0.00811122496114571,0.612714864644222
"138","global","heath","2","control","E2C","dweight",0.0456013333333333,0.000729273304882155,4.44113058899,25.3160469232337
"139","global","heath","2","control","E2C","fweight",0.0970675,0.000631489473204265,0.213893061428104,-0.89624989576153
"140","global","heath","2","control","E2C","height",7.4545,13.595532295174,2.34530629934567,6.92338214065759
"141","global","heath","2","control","E2C","leafa",3.86446801981583,1.86569629438697,4.09419644002729,28.2518200368252
"142","global","heath","2","control","E2C","wC",52.2066,2.12447317171717,-0.341785885723289,0.0259672769217754
"143","global","heath","2","control","E2C","wN",1.0413,0.112655868686869,1.86598507679117,2.54531909741311
"144","global","heath","2","snowfence","E2SF","CN_ratio",52.2226010123,211.065454516399,-0.400311452337658,-0.17419992932123
"145","global","heath","2","snowfence","E2SF","LDMC",0.433397857583225,0.00110637586315289,-0.0929079332469865,-0.770562214568002
"146","global","heath","2","snowfence","E2SF","SLA",101.735360977402,354.170280020936,0.753919849672023,-0.215091278036836
"147","global","heath","2","snowfence","E2SF","d13C",-28.431,1.36826565656566,-0.71166040131089,-0.360180547674633
"148","global","heath","2","snowfence","E2SF","d15N",-6.6963,4.66447809090909,0.894893876563638,1.28491321170752
"149","global","heath","2","snowfence","E2SF","dweight",0.0485629166666667,0.00103875571320847,4.00427107171322,18.4524313623403
"150","global","heath","2","snowfence","E2SF","fweight",0.139872583333333,0.0192756432369458,2.49226807122819,5.15494133722131
"151","global","heath","2","snowfence","E2SF","height",9.80341666666667,61.5188623667228,2.67047837098919,7.10866750556012
